business_id,business_age,industry,industry_risk_score,annual_revenue,profit_margin,invoice_payment_behavior,credit_history,past_loan_defaults,loan_repayment_rate,initial_investment,total_assets,total_liabilities,debt_to_equity_ratio,payment_history,amount_owed,length_of_credit_history,new_credit,credit_mix,risk_category
MSME_0000,11,AI Startups,8,2481158,22.63006612,11,Poor,Yes,83,NA,48171761,24866492,0.77,56,727759,3,4,3,High
MSME_0001,8,Retail,3,8300883,5.736310505,12,Poor,Yes,59,NA,33980113,2384093,2.69,57,977725,8,3,3,High
MSME_0002,21,Fintech,7,1866742,9.470646941,39,Poor,Yes,90,NA,31603644,6179146,1.28,65,42880,3,1,5,High
MSME_0003,28,Healthcare,2,689815,9.551213097,49,Average,No,52,NA,25817574,26581680,1.3,80,971037,13,5,3,High
MSME_0004,30,Fintech,7,1267401,27.09710092,14,Average,No,86,NA,10660692,1337320,2.22,62,461248,3,1,1,High
MSME_0005,10,Fintech,7,4427561,16.20507627,41,Average,No,91,NA,47022626,2544420,2.26,76,252107,10,2,5,Medium
MSME_0006,8,AI Startups,8,3997362,28.19597608,9,Average,Yes,99,NA,13004849,21280666,0.82,74,876405,13,3,1,Medium
MSME_0007,10,Fintech,7,9117055,28.10361052,13,Poor,Yes,80,NA,15353230,21291394,2.1,59,378802,2,0,1,High
MSME_0008,23,AI Startups,8,1440767,6.778351889,45,Average,No,97,NA,48338569,15613927,2.37,85,666865,3,4,4,High
MSME_0009,18,Fintech,7,2099257,14.20976919,22,Poor,Yes,54,NA,28553389,20721744,0.67,63,414561,3,5,5,High
MSME_0010,14,Healthcare,2,7454735,29.37836747,34,Poor,No,100,NA,37707707,20750610,1.98,96,955193,6,0,3,High
MSME_0011,20,IT Services,5,4715163,14.02319216,42,Poor,Yes,68,NA,42729896,24121544,0.37,97,488110,1,1,4,High
MSME_0012,22,IT Services,5,1302808,29.93322345,6,Poor,Yes,90,NA,43024909,4095683,1.15,87,34890,6,4,1,High
MSME_0013,29,Manufacturing,4,879102,23.06188246,21,Poor,No,92,NA,19576991,11808066,0.67,97,868093,2,5,3,High
MSME_0014,19,AI Startups,8,8519955,20.92012256,7,Poor,No,50,NA,48298452,4565797,1.06,77,934031,9,1,1,High
MSME_0015,14,Fintech,7,4937006,26.97979053,12,Good,Yes,55,NA,19096285,15936103,2.37,53,718427,1,0,2,High
MSME_0016,22,Retail,3,1544560,9.657537496,24,Good,Yes,74,NA,3410156,16444471,1.88,89,900049,13,1,2,High
MSME_0017,27,Manufacturing,4,5244519,13.42504965,16,Good,Yes,72,NA,8576043,21809394,1.7,54,795215,4,2,1,High
MSME_0018,29,Fintech,7,2689113,12.34939525,48,Good,No,50,NA,38573054,20716568,0.16,54,718779,9,1,1,High
MSME_0019,19,AI Startups,8,8562135,15.24829268,33,Poor,No,86,NA,5755284,20829249,1.68,79,603115,7,5,3,High
